ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1872,USA,Charles W. Morgan,Tinkhorn,,Antongil Bay,whaling,,NBWM 265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1854,USA,Charleston Packet,Ellis,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf,crew tried to sink by drilling holes in bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1843,USA,Charlestown,David Randall,New Bedford,"Saint Auguastine Bay, Nosy Be, Johanna",whaler,,"NWBM 97, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430704.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf",sailed March 14 from St AugUSAtine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1844,USA,Charlestown,Howland,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1837,USA,Cherokee,William B. Smith,Salem,"Majunga, Zanzibar, Brava, Muscat, Zanzibar, Majunga",,,"NEM 198; History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1839,USA,Cherokee,Shirley,Salem,"Majunga, Zanzibar, Mocha, Zanzibar",,,NEM 212,Capt Conant had died at Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1840,USA,Cherokee,Webb and Cheever,Salem,"Zanzibar, Majunga",,PE Log 1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1841,USA,Cherokee,George Weston,Salem,"Zanzibar, Madagascar",,PEM,NEM 188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1845,USA,Cherokee,Mansfield,Salem,Zanzibar,,,NEM 267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1857,USA,Cherokee,Smith,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18570818.pdf,"discharged a mutinoUSA crew, went to Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1833,USA,China,RUSAsell Maxfield,New Bedford,Madagascar,whaling,New Bedford whaling mUSAeum - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1838,USA,China,William E. Tower,New Bedford,"Sainte Marie, Maritius, Saint Auguastine Bay",,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1844,USA,China,William R Potter?,New Bedford,Maritius,whaling,Mystic Seaport MUSAeum,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1850,USA,Ch'n Packet,Lewis,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1836,USA,Cicero,Hillman,,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1851,USA,Cicero,Fox,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1833,USA,Cipher,Samuel Smith,Salem,"Majunga, Zanzibar",,"PE  Pingree papers -Box 75, folder 7","PE catalog, David Pingree; History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1853,USA,Clara Bell,Flanders,Mattapoisett,Johanna,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531108.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1855,USA,Clara Bell,Charles H. Robbins,"Mattapoisett, MA","Saint Auguastin Bay, Maritius",whaling,Mystic/ New Bedford whaling mUSAeum,http://images.mysticseaport.org/images/wsl/18571027.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1848,USA,Clarice,Gifford,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1851,USA,Clarice,Gifford,New Bedford,"Johanna, Zanzibar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530503.pdf,"arrived back in New Bedford, having lost 7 men, 5 from disease, one overboard and one capsized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1843,USA,Clarkson,Chase,Nantucket,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1838,USA,Clematis,Bailey,New London,Maritius,whaling,RP/ http://pplspc.org/nicholson/rj5_nicholson_161/pdf/rj5_nicholson_161r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1794,USA,Cleopatra,Campbell,Boston,Maritius,,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1845,GBR,Cleopatra,,,Majunga,,,NEM 349,wasn't allowed to land for water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1854,USA,Cleora,Smith,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550227.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1857,USA,Cleora,Norton,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18580323.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1837,USA,Clifford Wayne,Downs,Fairhaven,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1822,USA,Climax,G. W. Grafton,Salem,Madagascar,,,"Essex county, 84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1837,USA,Columbia,James Smith,New London,Maritius,whaling,New Bedford whaling mUSAeum / State Historical Society of Wisconsin Archives,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1849,USA,ColumbUSA,Andrews,New London,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1843,USA,Commodore Perry,Hampstead,New London,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1847,USA,Congress,Little ,New Bedford,"Anjouan, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1838,USA,Connecticut,Crocker,New London,,whaler,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1835,GBR,Conservator,,,Antongil Bay,whaling,,MBWM ODHS 1086 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1858,USA,Continent,Gibbs,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18581005.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1837,GBR,Coquette,Cook,London,"Zanzibar, Mombasa, Mozambique, Madagascar, Zanzibar, Majunga, Mozambique, London",,,"NEM 196, RW 4:1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1845,USA,Cornelia,Flanders,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1847,USA,Cornelia,Flanders,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1849,USA,Cornelia,Devoll,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1852,USA,Cornelia,Devoll,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520907.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1857,USA,Cortes,Lakeman,New Bedford,"Port Dauphin, Maritius",whaling,,http://images.mysticseaport.org/images/wsl/18580330.pdf; http://images.mysticseaport.org/images/wsl/18580518.pdf; http://images.mysticseaport.org/images/wsl/18580525.pdf,"burned by crew members off the coast of Madagascar in 1858, clear evidence: http://images.mysticseaport.org/images/wsl/18580705.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1838,USA,Cortland,Nathan Cook,Newburg,"Fort Dauphin, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1841,USA,Cossack,,Rochester,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1843,USA,Cossack,Delano,Sippican,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430411.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1833,USA,Countess Liverpool,Talbot,,"Maritius, Zanzibar",whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1835,USA,Courier,,Boston,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1837,USA,Courier,Benjamin Crapo,Boston,Maritius,whaling,New Bedford Whaling MUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1834,USA,Cypher,Smith,Salem,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1851,USA,Dale,,,Johanna,,,NEM 487,USA naval ship? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1836,USA,David Smith,,New Bedford,Madagascar,whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1832,USA,Dawn,Leech,New York,"Majunga, Zanzibar",whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1834,USA,Dawn,Leech,New York,Zanzibar,whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1837,USA,Delta,Greffing,Green Port,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1844,USA,Delta,Weeks,Greenport,St Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1850,USA,Delta,Weeks,Greenport,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510204.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1803,USA,Derby,Thomas West,Salem,"Bourbon, Maritius",,"MS Peabody MUSAeum: Journal of Dudley Leavitt Pickman, 1799-1804","NEM: 8; Bean, Yankee India, 89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1867,USA,Desdemona,Edward B. Phinney,New Bedford,"Maritius, St Auguastin Bay",whaler,NBWM 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1846,USA,Dimon,Smith,New Bedford,"Johanna, Zanzibar, Madagascar",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1844,GBR,Dispatch Barron,,London,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1851,USA,Dolphin,Cutler,Warren,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520705.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510902.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1855,USA,Dolphin,Cutler,Warren,"Johanna, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560923.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1837,GBR,Dove,,London,"Majunga, Mozambique",,,"NEM 190, RW 4:1, John Studdy Leigh",owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1843,USA,Dove,George Douglass/ Peabody,New London,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450902.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1845,USA,Dove,Douglass,New London,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460407.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1847,USA,Dove,Douglass,New London,"Saint Auguastine Bay, Anjouan, Zanzibar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480711.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480118.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1850,USA,Dove,Forsyth,New London,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501105.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1852,USA,Dove,Rose,New London,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520907.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1841,USA,Dragon,,New Bedford,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1843,USA,Dragon,Clark,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1841,USA,Draper,,New Bedford,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1848,USA,Draper,Lawton,New Bedford,"Anjouan, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1846,USA,Dremo/Dromo,Grinnell,Warren,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1855,USA,Dromo,Taber,Warren,"Maritius, Madagascar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560108.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550904.pdf,"after MauritiUSA, went right whaling near St Pauls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1835,USA,Dryad,,Rochester,Saint Auguastine Bay,whaling,,"NBWM KWM 597, NBWM 339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1843,USA,Dryade,William B Rogers,"Mattapoisett, MA",,whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1838,GBR,Duchess of Clarance,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1835,GBR,DGBRe of Marlborough,Moore,,"Cape, Zanzibar  ",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1837,USA,Eagle,,,Madagascar,whaler,,NBWM 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1857,USA,Eagle,McNelly,New Bedford,Johanna,whaling ,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1852,USA,Eben Dodge,,,Zanzibar,,,NEM 494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1835,USA?,Edua?,Francis,Antwerp?,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1839,USA,Edward,JC Daggett,Hudson,"Johanna, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1842,USA,Elisabeth,Bates,Hartford,Saint Auguastin Bay,,,NWBM 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1853,USA,Elisha Dunbar,Ellis,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531108.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1857,USA,Elisha Dunbar,Lincoln,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1797,USA,Eliza,Stephen Phillips,Salem?,Maritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1802,USA,Eliza,,Boston,"Cape, Sumatra",pepper,,NEM: 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1837,USA,Eliza,John G. Waters,Salem,Majunga,,,"NEM 189; RW, 4:1",carrying Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1841,USA,Eliza,Hollis,Salem,Majunga,,PE Log 1484,"RW, 1:2, 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1842,USA,Eliza,John Wallis,Salem,"Majunga, Zanzibar",,PE Log 506,"NEM 215; RW 1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1843,USA,Eliza,John Wallis,Salem,"Zanzibar, Madagascar",,PEM,"RW 1,2, 2:3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1844,USA,Eliza,Frederick Lindholm,,"Zanzibar, Brava, Madagascar, Mayotte",,PEM,PE Log 545 and Log 1485; NEM 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1845,USA,Eliza,,Salem,Zanzibar,,,NEM 268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1846,USA,Eliza,A. S. Perkins,Salem,"Madagascar, Zanzibar",,,"History of Essex County, 85; RW 2, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1856,USA,Eliza,Joseph H. Cornell,New Bedford,"Madagascar, Comoros, Maritius",whaling,New Bedford mUSAeum library - in catalog,http://images.mysticseaport.org/images/wsl/18580119.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1858,USA,Eliza,Cornell,New Bedford,"Johanna, Maritius",whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1805,USA,Elizabeth,,Philadelphia,"Maritius, Africa",,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1842,USA,Elizabeth,Thomas Bates,"Mattapoisett, MA",Maritius,whaling,New Bedford? / http://pplspc.org/nicholson/rj5_nicholson_218/pdf/rj5_nicholson_218r.pdf,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1855,USA,Elizabeth,Cook,Westport,"Johanna, Zanzibar, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561007.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1855,USA,Elizabeth Kimball,Sears,"Beverly, MA",Maritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551023.pdf,leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1866,USA,Ella Virginia,George Hall,Providence,Mozambique,,"Putnam, 67-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1836,USA,Emerald,,,Saint Auguastine Bay,whaler,,"NBWM 47, NBWM 411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1841,USA,Emerald,,Salem,Maritius,whaling,PEM,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1843,USA,Emerald,Lakeman,Salem,,whaler,PEM,"Starbuck,  pp. 404-5",ship wrecked off Fort Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1846,USA,Emerald,,,Madagascar ,"whaler, wrecked off coast of Madagascar",PE Log 525 / Nantucket Historical Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1843,USA,Emigrant,Shearman,Bristol,Macumba Bay,,http://library.mysticseaport.org/Images/wsl/18440507.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1843,USA,Emily Wilder,,Salem,Majunga and Zanzibar,,PE Log 526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1845,USA,Emily Wilder,Stephen B Don,Salem,"Zanzibar, Muscat, Aden, Mocha, Madagascar",,PE Log 1180 and 566,journal of Joseph Osgood; NEM 248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1847,USA,Emily Wilder,,,Majunga,,"Essex Isntitute, Aug 27, 1847",NEM 366 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1849,USA,Emily Wilder,William McFarland,Salem,"Madagascar, Zanzibar, Mocha, Aden, Muscat",,PE Log 616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1850,USA,Emily Wilder,,Salem,"Majunga, Zanzibar",,PE Log 1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1851,USA,Emily Wilder,William McFarland,Salem,"Madagascar, Zanzibar, Brava, Muscat, Nosy Be",,PE Log 643,loGBRook and first mate journal (2 sources),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1852,USA,Emily Wilder,John W Hobard,Salem,"Madagascar, Zanzibar, Aden, Mocha",,Pe Log 660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1855,USA,Emily Wilder,,Salem,"Madagascar, Zanzibar, Aden, Mocha",,PE Log 708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1856,USA,Emily Wilder,John B Ashby,Salem,"Majunga, Nosy Be, Tamatave, Zanzibar",,PE Log 1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1845,USA,Emma ,RUSAsell,New Bedford,"Johanna, Majunga  ",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451007.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1847,USA,Emma ,HUSAsey,New Bedford,"Zanzibar, likely Madagascar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480425.pdf,"crew sick with ""Madagascar fever""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1834,USA,Endeavor,Edward G. Sowle,New Bedford,Saint Auguastine Bay,whaling,NBWM ODHS 777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1838,USA,Endeavor,Stetson,New Bedford,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1839,USA,Endeavor,,New Bedford,,whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1843,USA,Enterprise,Bailey,New Bedford,Maritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1856,USA,Eugenia,Cottle,New Bedford,"Tulear, Maritius",whaling,NBL 24; http://library.mysticseaport.org/Images/wsl/18561209.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1858,USA,Eureka,Pease,Edgartown,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18580831.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1857,USA,Europa,Phinney,New Bedford,Auguastine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1844,USA,Exchange,Merry,Warren,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1846,USA,Exchange,Thomas Merry,New Bedfrd,Nosy Be,whaling,NBL 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1829,GBR,Falcon,,,Maritius,,,"Holman, 414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1835,USA,Falcon,,,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1837,USA,Falcon,Taber,New Bedford,"Saint Auguastin Bay, Maritius",whaling,RP/ http://pplspc.org/nicholson/rj5_nicholson_246/pdf/rj5_nicholson_246r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1865,USA,Falcon,Francis Dougherty,New Bedford,Madagascar,whaling,New Bedford whaling library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1835,USA,Fama,Littlefield,Bristol,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1802,USA,Fanny,Cloud,,"Cape, Maritius",,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
