ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1877,USA,Andrew Hicks,Edward E. Hicks,"Westport, MA","Madagascar, Anjouan",whaling,New Bedford mUSAeum library - in catalog / RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1826,USA,Ann,Charles MIllet,Salem,"Anjouan, Lindy River, Lamu, Brava","corn, rice, ivory","Essex Institute, log and East India Marine Society journal","NEM: 147; Northway, 124",took grain to Mocha from Zanzibar and Lamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1828,USA,Ann,Millet,Salem,"Zanzibar, Mombasa, Barawa, Anjouan, Mocha",,"Essex Institute log, invoices, sales records","Northway, 149",grain for Mocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1835,USA,Ann Maria,Josiah Chester,New London,Saint Auguastin Bay,whaling,Mystic / Penobscot Marine MUSAeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1837,USA,Ann Maria,Nathan Middleton,New London,Saint Auguastin Bay,whaling,"Mystic, New Bedford whaling mUSAuem",NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1844,USA,Ann Maria,Carr,Fall River,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450304.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1843,USA,Ann Parry,Dennette,Salem,"Saint Auguastine Bay, Macamba Bay, Nosy Be",whaling,Pe Log 489,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430704.pdf,sailed from Saint AugUSAtine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1846,USA,Ann Parry,Dennette; Abial P. Perry,Portsmouth,"Nosy Be, Zanzibar, Maritius, Seychelles",whaling,PEM,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461103.pdf,capt got sick and Perry took over in Zanzibar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1838,USA,Ann Perry,Swain,Portsmouth,"Madagascar, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1802,USA,Appollo,Thurston,Baltimore,Maritius,,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1838,USA,Arab,Benjamin CUSAhman,Fairhaven,Indian Ocean?,whaling,Old Darthmouth Historical society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1843,USA,Arab,Ephraim Harding,Fairhaven,"Saint Auguastine Bay, Nosy Be",whaling,New Bedford whaling mUSAeum,"http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1846,USA,Arab,Samuel Tripp Braley,Fairhaven,"Nosy Be, Zanzibar ",whaling,NBWM 259,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1839,FRA?,Arabe de Bordeaux,Azevedo and Graca,,Majunga,had ivory for sale,John Study Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1840,USA,Arabella,J. Bishop,Sag Harbor,Maritius,whaling,Rogers Memorial Library ,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1850,USA,Arabella,MAxfield,New Bedford,"Maritius, Anjouan",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500910.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
