Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1844,US,Charles Henry,Jeffrey,New London,Mauiritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450401.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Charles W. Morgan,Tinkhorn,,Antongil Bay,whaling,,NBWM 265,,Antongil Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Charleston Packet,Ellis,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf,crew tried to sink by drilling holes in bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Charlestown,David Randall,New Bedford,"Saint Augustine Bay, Nosy Be, Johanna",whaler,,"NWBM 97, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430704.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf",sailed March 14 from St Augustine Bay,Saint Augustine Bay,MArch,14-Mar,,,,Nosy Be,June,,Saint Augustin Bay,March 1844,,Saint Augustine Bay,March 1845,,,,,,,,,,,,,,,,,,,,,,
1844,US,Charlestown,Howland,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Cherokee,William B. Smith,Salem,"Majunga, Zanzibar, Brava, Muscat, Zanzibar, Majunga",,,"NEM 198; History of Essex County, 85",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Cherokee,Shirley,Salem,"Majunga, Zanzibar, Mocha, Zanzibar",,,NEM 212,Capt Conant had died at Majunga,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Cherokee,Webb and Cheever,Salem,"Zanzibar, Majunga",,PE Log 1394,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Cherokee,George Weston,Salem,"Zanzibar, Madagascar",,PEM,NEM 188,,Madagascar,04-Oct,12-Oct,,,,Majunga,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Cherokee,Mansfield,Salem,Zanzibar,,,NEM 267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Cherokee,Smith,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18570818.pdf,"discharged a mutinous crew, went to Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,China,Russell Maxfield,New Bedford,Madagascar,whaling,New Bedford whaling museum - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,China,William E. Tower,New Bedford,"Sainte Marie, Mauritius, Saint Augustine Bay",,NBWM ODHS 880,,,Saint Marie,23-Feb,03-Mar,provisions,,,Saint Augustin Bay,27-Mar,30-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,China,William R Potter?,New Bedford,Mauritius,whaling,Mystic Seaport Museum,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Ch'n Packet,Lewis,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Cicero,Hillman,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Cicero,Fox,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Cipher,Samuel Smith,Salem,"Majunga, Zanzibar",,"PE  Pingree papers -Box 75, folder 7","PE catalog, David Pingree; History of Essex County, 85",,Majunga,September,,"1728 hides (87.5 cents, 75, 62.5), gum copal, ivory, shell, horn",,"total spent $7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Clara Bell,Flanders,Mattapoisett,Johanna,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531108.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Clara Bell,Charles H. Robbins,"Mattapoisett, MA","Saint Augustin Bay, Mauritius",whaling,Mystic/ New Bedford whaling museum,http://images.mysticseaport.org/images/wsl/18571027.pdf,,Saint Augustin Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Clarice,Gifford,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Clarice,Gifford,New Bedford,"Johanna, Zanzibar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530503.pdf,"arrived back in New Bedford, having lost 7 men, 5 from disease, one overboard and one capsized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Clarkson,Chase,Nantucket,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustin Bay,10-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Clematis,Bailey,New London,Mauritius,whaling,RP/ http://pplspc.org/nicholson/rj5_nicholson_161/pdf/rj5_nicholson_161r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,US,Cleopatra,Campbell,Boston,Mauritius,,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,UK,Cleopatra,,,Majunga,,,NEM 349,wasn't allowed to land for water,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Cleora,Smith,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550227.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Cleora,Norton,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18580323.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Clifford Wayne,Downs,Fairhaven,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,US,Climax,G. W. Grafton,Salem,Madagascar,,,"Essex county, 84",,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Columbia,James Smith,New London,Mauritius,whaling,New Bedford whaling museum / State Historical Society of Wisconsin Archives,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Columbus,Andrews,New London,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Commodore Perry,Hampstead,New London,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustin Bay,16-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Congress,Little ,New Bedford,"Anjouan, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Connecticut,Crocker,New London,,whaler,PEM,,,Tamatave,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,UK,Conservator,,,Antongil Bay,whaling,,MBWM ODHS 1086 A,,Antongil,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Continent,Gibbs,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18581005.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,GB,Coquette,Cook,London,"Zanzibar, Mombasa, Mozambique, Madagascar, Zanzibar, Majunga, Mozambique, London",,,"NEM 196, RW 4:1",,Saint Augustin Bay,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Cornelia,Flanders,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Cornelia,Flanders,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Cornelia,Devoll,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Cornelia,Devoll,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520907.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Cortes,Lakeman,New Bedford,"Port Dauphin, Mauritius",whaling,,http://images.mysticseaport.org/images/wsl/18580330.pdf; http://images.mysticseaport.org/images/wsl/18580518.pdf; http://images.mysticseaport.org/images/wsl/18580525.pdf,"burned by crew members off the coast of Madagascar in 1858, clear evidence: http://images.mysticseaport.org/images/wsl/18580705.pdf",Port Dauphin,"December 16, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Cortland,Nathan Cook,Newburg,"Fort Dauphin, Mauritius",whaling,,NARA reel 1,,Fort Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Cossack,,Rochester,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Cossack,Delano,Sippican,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430411.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Countess Liverpool,Talbot,,"Mauritius, Zanzibar",whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Courier,,Boston,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Courier,Benjamin Crapo,Boston,Mauritius,whaling,New Bedford Whaling Museum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Cypher,Smith,Salem,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Dale,,,Johanna,,,NEM 487,US naval ship? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,David Smith,,New Bedford,Madagascar,whaler,,,,Nosy Be,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,US,Dawn,Leech,New York,"Majunga, Zanzibar",whaling,,"Edmund Roberts, LOC",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Dawn,Leech,New York,Zanzibar,whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Delta,Greffing,Green Port,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Delta,Weeks,Greenport,St Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf,,Saint Augustin Bay,15-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Delta,Weeks,Greenport,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510204.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,US,Derby,Thomas West,Salem,"Bourbon, Mauritius",,"MS Peabody Museum: Journal of Dudley Leavitt Pickman, 1799-1804","NEM: 8; Bean, Yankee India, 89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,US,Desdemona,Edward B. Phinney,New Bedford,"Mauritius, St Augustin Bay",whaler,NBWM 68,,,Saint Augustin Bay,11-Feb,20-Feb,water and wood,Tulear,,,08-Feb,17-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Dimon,Smith,New Bedford,"Johanna, Zanzibar, Madagascar",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,GB,Dispatch Barron,,London,Madagascar,,,,,Madagascar,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Dolphin,Cutler,Warren,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520705.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510902.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Dolphin,Cutler,Warren,"Johanna, MAuritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560923.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,UK,Dove,,London,"Majunga, Mozambique",,,"NEM 190, RW 4:1, John Studdy Leigh",owned by Newman Hunt and Christopher,Majunga,07-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Dove,George Douglass/ Peabody,New London,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450902.pdf,,Saint Augustine Bay,March,,,,,Saint Augustine Bay,"March 21, 1845",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Dove,Douglass,New London,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460407.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Dove,Douglass,New London,"Saint Augustine Bay, Anjouan, Zanzibar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480711.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480118.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,Saint Augustine Bay,"March 20, 1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Dove,Forsyth,New London,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501105.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Dove,Rose,New London,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520907.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Dragon,,New Bedford,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Dragon,Clark,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf,,Saint Augustine Bay,16-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Draper,,New Bedford,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Draper,Lawton,New Bedford,"Anjouan, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Dremo/Dromo,Grinnell,Warren,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Dromo,Taber,Warren,"Mauritius, Madagascar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560108.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550904.pdf,"after Mauritius, went right whaling near St Pauls",Madagascar,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Dryad,,Rochester,Saint Augustine Bay,whaling,,"NBWM KWM 597, NBWM 339",,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Dryade,William B Rogers,"Mattapoisett, MA",,whaler,,,,,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,GB,Duchess of Clarance,,Liverpool,,,,,,Tamatave,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,GB,Duke of Marlborough,Moore,,"Cape, Zanzibar  ",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Eagle,,,Madagascar,whaler,,NBWM 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Eagle,McNelly,New Bedford,Johanna,whaling ,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Eben Dodge,,,Zanzibar,,,NEM 494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US?,Edua?,Francis,Antwerp?,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Edward,JC Daggett,Hudson,"Johanna, Mauritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Elisabeth,Bates,Hartford,Saint Augustin Bay,,,NWBM 97,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Elisha Dunbar,Ellis,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531108.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Elisha Dunbar,Lincoln,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,US,Eliza,Stephen Phillips,Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Eliza,,Boston,"Cape, Sumatra",pepper,,NEM: 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Eliza,John G. Waters,Salem,Majunga,,,"NEM 189; RW, 4:1",carrying Waters,Majunga,,"January 25, 1837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Eliza,Hollis,Salem,Majunga,,PE Log 1484,"RW, 1:2, 6",,Majunga,March,,"3030 hides at $1 each, barrels of tallow, beef, ducks, geese, labor","cloth, assortedgooods","total purcahses of $3543, goods total $3634, Gov demanding saddle, chandalier, sample beeswax in return",Majunga,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Eliza,John Wallis,Salem,"Majunga, Zanzibar",,PE Log 506,"NEM 215; RW 1,2",,Majunga,24-Jan,01-Feb,"3767 (or 2767?) + then 3421 + 1542 hides, 40 +22 barrels tallow, beeswax","cloth, soap, plates etc, total $300, 12 cases red stock muskets (20 each)","total of $3175 for hides, then final goods shopped in January 1843 were total $10,000",Majunga,May,,Majunga ,January 1843,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Eliza,John Wallis,Salem,"Zanzibar, Madagascar",,PEM,"RW 1,2, 2:3",,Majunga,27-Jan,03-Feb,"7,500+ hides, then in October - 3450 hides, tallow for total $4132, plus $6,000 in cut money",cotton cloth,"total goods in October - $9,498, Mr Marks owes us $1,000",Majunga,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Eliza,Frederick Lindholm,,"Zanzibar, Brava, Madagascar, Mayotte",,PEM,PE Log 545 and Log 1485; NEM 215,,Madagascar,18-Dec,24-Dec,bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Eliza,,Salem,Zanzibar,,,NEM 268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Eliza,A. S. Perkins,Salem,"Madagascar, Zanzibar",,,"History of Essex County, 85; RW 2, 1",,Madagascar,,17-Jan,"2135 hides, 5 barrels tallow",,"settled trade, risky trade, French and English can't trade at Madagascar, sending war ships from Cape and to Nosy Be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Eliza,Joseph H. Cornell,New Bedford,"Madagascar, Comoros, Mauritius",whaling,New Bedford museum library - in catalog,http://images.mysticseaport.org/images/wsl/18580119.pdf,,Saint Augustine Bay,"July 30, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Eliza,Cornell,New Bedford,"Johanna, Mauritius",whaler,,,,,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,US,Elizabeth,,Philadelphia,"Mauritius, Africa",,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Elizabeth,Thomas Bates,"Mattapoisett, MA",Mauritius,whaling,New Bedford? / http://pplspc.org/nicholson/rj5_nicholson_218/pdf/rj5_nicholson_218r.pdf,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Elizabeth,Cook,Westport,"Johanna, Zanzibar, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561007.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Elizabeth Kimball,Sears,"Beverly, MA",Mauritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551023.pdf,leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,US,Ella Virginia,George Hall,Providence,Mozambique,,"Putnam, 67-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Emerald,,,Saint Augustine Bay,whaler,,"NBWM 47, NBWM 411",,Saint Augustine BAy,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Emerald,,Salem,Mauritius,whaling,PEM,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Emerald,Lakeman,Salem,,whaler,PEM,"Starbuck,  pp. 404-5",ship wrecked off Fort Dauphin,,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Emerald,,,Madagascar ,"whaler, wrecked off coast of Madagascar",PE Log 525 / Nantucket Historical Association,,,Madagascar,Feb or March,02-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Emigrant,Shearman,Bristol,Macumba Bay,,http://library.mysticseaport.org/Images/wsl/18440507.pdf,,,Macumba Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Emily Wilder,,Salem,Majunga and Zanzibar,,PE Log 526,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Emily Wilder,Stephen B Don,Salem,"Zanzibar, Muscat, Aden, Mocha, Madagascar",,PE Log 1180 and 566,journal of Joseph Osgood; NEM 248,,Madagascar,17-Jul,26-Jul,"peppers, potatoes, bullocks, hides","20 kegs of powder, ",embargo is off,Majunga,29-Jul,01-Aug,Majunga,27-Aug,10-Sep,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Emily Wilder,,,Majunga,,"Essex Isntitute, Aug 27, 1847",NEM 366 ,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Emily Wilder,William McFarland,Salem,"Madagascar, Zanzibar, Mocha, Aden, Muscat",,PE Log 616,,,Madagascar,24-Jun,27-Jun,food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Emily Wilder,,Salem,"Majunga, Zanzibar",,PE Log 1005,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Emily Wilder,William McFarland,Salem,"Madagascar, Zanzibar, Brava, Muscat, Nosy Be",,PE Log 643,logbook and first mate journal (2 sources),,Madagascar,05-Aug,09-Aug,"hides, beeswax","powder, cotton cloth, assorted goods",,Boyanna Bay,,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Emily Wilder,John W Hobard,Salem,"Madagascar, Zanzibar, Aden, Mocha",,Pe Log 660,,,Madagascar,01-Dec,05-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Emily Wilder,,Salem,"Madagascar, Zanzibar, Aden, Mocha",,PE Log 708,,,Madagascar,11-Nov,16-Nov,,100 bales of cloth,,Nosy Be,17-Nov,23-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Emily Wilder,John B Ashby,Salem,"Majunga, Nosy Be, Tamatave, Zanzibar",,PE Log 1499,,,Nosy Be,06-Nov,Nov 14?,"1050 hides from Majunga, more hides and ebony from Nosy Be","cotton to Majunga, powder to Nosy Be",,Nosy Be,17-Nov,21-Nov,Tamatave,08-Dec,13-Dec,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Emma ,Russell,New Bedford,"Johanna, Majunga  ",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451007.pdf,,Majunga,,"June 7, 1845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Emma ,Hussey,New Bedford,"Zanzibar, likely Madagascar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480425.pdf,"crew sick with ""Madagascar fever""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Endeavor,Edward G. Sowle,New Bedford,Saint Augustine Bay,whaling,NBWM ODHS 777,,,Saint Augustine Bay,19-May,29-May,,,,Saint Augustine Bay,28-Jul,18-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Endeavor,Stetson,New Bedford,,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Endeavor,,New Bedford,,whaler,,,,,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Enterprise,Bailey,New Bedford,Mauritius,whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
